country,popTotal,percentPopFemale,percentPopMale
"Uruguay",3449299,51.7,48.2
"United States",327167434,50.5,49.4
"Uzbekistan",32955400,50.1,49.8
"St. Vincent and the Grenadines",110210,49.2,50.7
"Venezuela, RB",28870195,50.6,49.3
"Virgin Islands (U.S.)",106977,52.4,47.5
"Vietnam",95540395,50.0,49.9
"Vanuatu",292680,49.2,50.7
"Samoa",196130,48.2,51.7
"Yemen, Rep.",28498687,49.6,50.3
"South Africa",57779622,50.6,49.3
"Zambia",17351822,50.4,49.5
"Zimbabwe",14439018,52.3,47.6
